City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,wailua homesteads,22.0669,-159.378,296.59,84,40,6.17,US,1704219704
252,cuenca,-2.8833,-78.9833,297.22,46,75,2.06,EC,1704219704
253,kollam,8.8833,76.6,299.68,76,71,2.23,IN,1704219704
254,al balyana,26.2357,32.0035,289.98,50,0,4.59,EG,1704219704
255,panaba,21.2833,-88.2667,300.55,43,34,3.87,MX,1704219704
256,utrik,11.2278,169.8474,300.04,76,82,9.8,MH,1704219704
257,castillos,-34.1667,-53.8333,296.51,66,75,5.88,UY,1704219705
258,mazamari,-11.3258,-74.5308,304.67,54,98,0.73,PE,1704219705
259,trujillo,-8.116,-79.03,296.13,83,40,4.63,PE,1704219486
260,prabumulih,-3.45,104.25,296.64,99,98,1.21,ID,1704219705
261,uliastay,47.7417,96.8444,257.49,62,49,3.45,MN,1704219705
262,jamestown,42.097,-79.2353,273.16,83,100,5.14,US,1704219413
263,kish,26.5578,54.0194,294.3,68,0,3.09,IR,1704219705
264,bandon,51.7469,-8.7425,280.92,91,76,6.55,IE,1704219706
265,garoowe,8.4054,48.4845,296.24,48,49,8.2,SO,1704219706
266,tazovsky,67.4667,78.7,238.03,97,10,2.66,RU,1704219706
267,bochum,51.4833,7.2167,284.47,97,100,3.58,DE,1704219706
268,burang,30.25,81.1667,264.43,48,0,1.32,CN,1704219706
269,alice springs,-23.7,133.8833,299.9,19,8,2.06,AU,1704219583
270,camenca,48.0319,28.6978,277.51,73,88,2.54,MD,1704219706
271,sosnovo-ozerskoye,52.5249,111.5418,253.73,98,90,1.56,RU,1704219707
272,conduaga,8.862,117.4893,299.66,82,8,0.51,PH,1704219707
273,kavaratti,10.5669,72.642,300.59,75,70,1.66,IN,1704219707
274,ciudad fernandez,21.95,-100.0,292.26,57,100,1.09,MX,1704219707
275,saint-philippe,-21.3585,55.7679,298.92,82,100,6.16,RE,1704219707
276,mirnyy,62.5353,113.9611,238.28,66,99,0.89,RU,1704219707
277,moussoro,13.6408,16.4901,299.73,11,50,4.83,TD,1704219707
278,dighwara,25.7333,85.0,288.19,94,100,0.0,IN,1704219708
279,necochea,-38.5473,-58.7368,298.41,46,75,7.4,AR,1704219708
280,tofol,5.3248,163.0078,301.49,77,66,8.58,FM,1704219708
281,inverurie,57.2845,-2.3774,280.1,94,100,3.09,GB,1704219708
282,kupang,-10.1667,123.5833,300.47,94,75,1.03,ID,1704219708
283,amahai,-3.3333,128.9167,299.65,85,99,2.39,ID,1704219708
284,ilhabela,-23.7781,-45.3581,299.16,77,97,3.94,BR,1704219709
285,selkirk,50.1436,-96.8845,272.19,86,76,3.76,CA,1704219709
286,zag,46.9441,99.165,249.68,87,66,1.38,MN,1704219709
287,balangir,20.7167,83.4833,290.28,62,0,0.79,IN,1704219709
288,bedele,8.456,36.353,289.4,57,52,1.59,ET,1704219709
289,xuanzhou,30.9525,118.7553,277.24,94,100,3.73,CN,1704219709
290,rio pardo,-29.9897,-52.3781,305.71,46,37,1.05,BR,1704219709
291,sarmanovo,55.2553,52.5891,248.53,98,100,3.81,RU,1704219710
292,muisne,0.6,-80.0333,298.91,87,100,4.79,EC,1704219710
293,regina,50.4501,-104.6178,267.21,90,100,4.12,CA,1704219443
294,lamar,33.6668,-95.5836,279.81,72,0,2.57,US,1704219710
295,howrah,22.5892,88.3103,287.15,82,0,2.06,IN,1704219710
296,yavatmal,20.4,78.1333,293.24,46,0,2.48,IN,1704219710
297,guerrero negro,27.9769,-114.0611,290.69,55,1,1.51,MX,1704219710
298,playa del ingles,27.7567,-15.5787,294.01,72,0,2.04,ES,1704219710
299,masterton,-40.9597,175.6575,287.53,85,100,0.45,NZ,1704219711
300,newman,37.3138,-121.0208,282.34,82,100,3.65,US,1704219711
301,cedeira,43.6797,-8.0209,287.25,53,100,11.1,ES,1704219711
302,puerto baquerizo moreno,-0.9,-89.6,302.7,74,20,6.17,EC,1704219711
303,hilo,19.7297,-155.09,292.64,99,100,5.66,US,1704219441
304,xuchang,34.0167,113.8167,277.98,47,0,3.49,CN,1704219711
305,vangaindrano,-23.35,47.6,297.34,92,100,6.32,MG,1704219711
